value,timestamp
THINK-STOP,2022-03-14 00:40:45.455736
SAY-STOP,2022-03-14 00:41:01.454151
THINK-STOP,2022-03-14 00:41:17.465448
THINK-STOP,2022-03-14 00:41:33.467140
SAY-YES,2022-03-14 00:41:49.475654
SAY-STOP,2022-03-14 00:42:05.465786
SAY-STOP,2022-03-14 00:42:21.467250
THINK-YES,2022-03-14 00:42:37.475901
SAY-YES,2022-03-14 00:42:53.476876
SAY-STOP,2022-03-14 00:43:09.474486
SAY-STOP,2022-03-14 00:43:25.466217
THINK-YES,2022-03-14 00:43:41.466045
THINK-YES,2022-03-14 00:43:57.472597
SAY-YES,2022-03-14 00:44:13.476884
SAY-YES,2022-03-14 00:44:29.475262
THINK-STOP,2022-03-14 00:44:45.478255
THINK-YES,2022-03-14 00:45:01.467569
THINK-STOP,2022-03-14 00:45:17.476450
THINK-YES,2022-03-14 00:45:33.466953
THINK-STOP,2022-03-14 00:45:49.479263
THINK-STOP,2022-03-14 00:46:05.466480
THINK-YES,2022-03-14 00:46:21.472680
SAY-YES,2022-03-14 00:46:37.474229
SAY-STOP,2022-03-14 00:46:53.473579
THINK-YES,2022-03-14 00:47:09.472635
SAY-YES,2022-03-14 00:47:25.476981
SAY-STOP,2022-03-14 00:47:41.468581
SAY-YES,2022-03-14 00:47:57.469747
SAY-STOP,2022-03-14 00:48:13.468694
SAY-YES,2022-03-14 00:48:29.463062
