delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
2361977,309545,12219,42889,19423,11036,24117,20386,2022-03-14 00:15:17.381586
1687960,46704,159202,26871,51119,14182,36702,28016,2022-03-14 00:15:18.382804
3734307,95272,25355,22927,14304,11190,9849,6730,2022-03-14 00:15:19.406433
1079743,129071,25105,126416,31583,13180,20169,22648,2022-03-14 00:15:20.367549
604833,212283,59806,42012,69081,32923,20427,21072,2022-03-14 00:15:21.377779
202899,43095,3363,2618,4636,2841,2514,2257,2022-03-14 00:15:22.365597
33648,11426,22453,14293,3338,9887,5822,10616,2022-03-14 00:15:23.376270
27801,12103,11158,24826,4853,5614,6721,7696,2022-03-14 00:15:24.385687
13869,11804,19656,9349,10573,9228,5023,8354,2022-03-14 00:15:25.376462
18006,19171,3069,12902,6576,12174,3042,5159,2022-03-14 00:15:26.389323
312187,166791,8696,13276,3398,16076,9330,31757,2022-03-14 00:15:27.368013
19760,20275,13767,14816,9766,8544,6508,6586,2022-03-14 00:15:28.375803
16652,19916,4127,3236,7273,13463,14875,9891,2022-03-14 00:15:29.366056
158897,63259,29570,23481,23480,15074,7600,12356,2022-03-14 00:15:30.394629
264434,22750,10935,812,9427,4510,7372,1374,2022-03-14 00:15:31.367624
125916,22901,10537,2546,2384,4054,1697,1436,2022-03-14 00:15:32.398331
1222839,91082,60828,62387,7006,42217,48284,59894,2022-03-14 00:15:33.399814
2063154,756713,102422,110277,50951,115440,73556,94296,2022-03-14 00:15:34.367830
1335235,35534,5268,8496,39222,7661,6232,5523,2022-03-14 00:15:35.376461
563927,510840,97972,185074,108400,31801,42549,35681,2022-03-14 00:15:36.366996
124335,29461,6395,1743,1762,3157,2922,2102,2022-03-14 00:15:37.402227
500902,34602,12510,4795,5309,6049,4018,5096,2022-03-14 00:15:38.380565
129009,103037,8694,13891,18087,13393,6647,4239,2022-03-14 00:15:39.376013
804663,102191,8548,21928,15057,3277,8985,7232,2022-03-14 00:15:40.386219
148373,227000,17722,25449,5997,7034,13805,8062,2022-03-14 00:15:41.370059
3393,7723,8192,3520,2897,3526,4683,3004,2022-03-14 00:15:42.370047
4038,4003,9226,9213,2687,14748,5858,2466,2022-03-14 00:15:43.377853
10910,7239,1769,1589,3490,3591,2615,1839,2022-03-14 00:15:44.393384
14147,36623,8778,14388,7017,5113,2351,1826,2022-03-14 00:15:45.379436
944864,721650,165097,93248,166295,82950,20233,70078,2022-03-14 00:15:46.378122
2005353,144476,18456,50162,6613,10517,18105,14328,2022-03-14 00:15:47.366492
196878,7676,845,1083,862,405,281,362,2022-03-14 00:15:48.372186
80070,20499,6092,22057,8762,9096,9207,9818,2022-03-14 00:15:49.372564
621630,62489,2480,1045,7972,5303,5891,6946,2022-03-14 00:15:50.366141
227608,54454,13583,30257,4428,9592,11987,11626,2022-03-14 00:15:51.382213
927276,26496,9800,11144,6271,5616,4453,2997,2022-03-14 00:15:52.378861
144972,11831,15613,21600,27540,6558,2222,6104,2022-03-14 00:15:53.378090
830852,36696,6390,2816,709,3412,3128,4214,2022-03-14 00:15:54.381030
7361,4534,13454,17002,3179,7361,3236,3249,2022-03-14 00:15:55.405905
47200,18999,5078,9945,12177,10855,6429,6274,2022-03-14 00:15:56.385497
158852,89965,19751,19053,10907,5152,7627,7420,2022-03-14 00:15:57.376126
1093105,64322,4455,8776,4363,4022,627,1028,2022-03-14 00:15:58.373202
14739,43453,20605,13713,7902,6259,2700,5651,2022-03-14 00:15:59.380201
1348506,483127,150040,81998,38463,28423,31938,19405,2022-03-14 00:16:00.373115
199364,48270,7402,12402,4546,3885,5169,3702,2022-03-14 00:16:01.381079
608317,99467,38075,29251,17662,17440,6100,6798,2022-03-14 00:16:02.401967
1306447,1591177,326234,138506,156570,64180,17196,109478,2022-03-14 00:16:03.366622
1416527,83869,16311,8639,12148,8408,5834,2926,2022-03-14 00:16:04.383973
140432,15615,11596,2747,5133,12067,11985,8406,2022-03-14 00:16:05.386267
928132,84884,52689,60991,15499,26435,29127,18240,2022-03-14 00:16:06.380177
