value,timestamp
0,2022-03-13 22:45:03.758536
0,2022-03-13 22:45:04.754869
51,2022-03-13 22:45:05.751677
66,2022-03-13 22:45:06.782253
64,2022-03-13 22:45:07.751802
88,2022-03-13 22:45:08.779631
81,2022-03-13 22:45:09.761035
64,2022-03-13 22:45:10.761094
88,2022-03-13 22:45:11.751597
88,2022-03-13 22:45:12.750451
91,2022-03-13 22:45:13.751031
97,2022-03-13 22:45:14.753569
75,2022-03-13 22:45:15.799450
56,2022-03-13 22:45:16.758406
53,2022-03-13 22:45:17.751019
70,2022-03-13 22:45:18.746759
94,2022-03-13 22:45:19.793137
96,2022-03-13 22:45:20.752858
96,2022-03-13 22:45:21.769482
67,2022-03-13 22:45:22.780692
60,2022-03-13 22:45:23.756596
63,2022-03-13 22:45:24.745472
66,2022-03-13 22:45:25.758970
81,2022-03-13 22:45:26.783845
81,2022-03-13 22:45:27.747329
78,2022-03-13 22:45:28.757794
78,2022-03-13 22:45:29.748311
60,2022-03-13 22:45:30.758730
61,2022-03-13 22:45:31.746100
64,2022-03-13 22:45:32.753519
50,2022-03-13 22:45:33.774450
70,2022-03-13 22:45:34.750437
69,2022-03-13 22:45:35.758581
67,2022-03-13 22:45:36.758711
78,2022-03-13 22:45:37.765609
74,2022-03-13 22:45:38.785710
57,2022-03-13 22:45:39.763122
44,2022-03-13 22:45:40.764513
48,2022-03-13 22:45:41.752114
60,2022-03-13 22:45:42.758695
66,2022-03-13 22:45:43.755092
80,2022-03-13 22:45:44.782755
74,2022-03-13 22:45:45.758061
56,2022-03-13 22:45:46.757757
61,2022-03-13 22:45:47.770893
43,2022-03-13 22:45:48.756770
54,2022-03-13 22:45:49.751162
47,2022-03-13 22:45:50.758708
51,2022-03-13 22:45:51.771986
48,2022-03-13 22:45:52.750479
41,2022-03-13 22:45:53.772487
54,2022-03-13 22:45:54.766021
37,2022-03-13 22:45:55.753273
54,2022-03-13 22:45:56.749880
44,2022-03-13 22:45:57.748567
48,2022-03-13 22:45:58.758324
70,2022-03-13 22:45:59.751877
74,2022-03-13 22:46:00.746181
64,2022-03-13 22:46:01.746638
66,2022-03-13 22:46:02.790821
51,2022-03-13 22:46:03.753011
30,2022-03-13 22:46:04.753157
50,2022-03-13 22:46:05.752347
40,2022-03-13 22:46:06.751179
51,2022-03-13 22:46:07.759842
67,2022-03-13 22:46:08.749732
57,2022-03-13 22:46:09.769658
63,2022-03-13 22:46:10.782977
54,2022-03-13 22:46:11.747380
66,2022-03-13 22:46:12.754015
69,2022-03-13 22:46:13.751254
69,2022-03-13 22:46:14.758850
77,2022-03-13 22:46:15.754252
60,2022-03-13 22:46:16.766276
51,2022-03-13 22:46:17.750559
47,2022-03-13 22:46:18.757994
21,2022-03-13 22:46:19.752527
26,2022-03-13 22:46:20.765484
34,2022-03-13 22:46:21.752962
40,2022-03-13 22:46:22.758573
70,2022-03-13 22:46:23.761752
80,2022-03-13 22:46:24.759506
84,2022-03-13 22:46:25.778256
66,2022-03-13 22:46:26.781689
60,2022-03-13 22:46:27.791337
56,2022-03-13 22:46:28.757602
63,2022-03-13 22:46:29.759472
77,2022-03-13 22:46:30.753162
63,2022-03-13 22:46:31.746308
54,2022-03-13 22:46:32.746969
54,2022-03-13 22:46:33.751929
53,2022-03-13 22:46:34.772550
38,2022-03-13 22:46:35.754126
34,2022-03-13 22:46:36.752268
43,2022-03-13 22:46:37.751648
44,2022-03-13 22:46:38.793979
60,2022-03-13 22:46:39.747532
54,2022-03-13 22:46:40.751545
40,2022-03-13 22:46:41.753516
38,2022-03-13 22:46:42.778153
17,2022-03-13 22:46:43.752018
37,2022-03-13 22:46:44.759289
34,2022-03-13 22:46:45.786271
34,2022-03-13 22:46:46.755586
37,2022-03-13 22:46:47.758756
40,2022-03-13 22:46:48.754279
40,2022-03-13 22:46:49.750625
30,2022-03-13 22:46:50.747004
40,2022-03-13 22:46:51.759337
30,2022-03-13 22:46:52.776686
60,2022-03-13 22:46:53.749216
60,2022-03-13 22:46:54.754554
66,2022-03-13 22:46:55.753544
69,2022-03-13 22:46:56.753503
61,2022-03-13 22:46:57.773883
67,2022-03-13 22:46:58.769605
81,2022-03-13 22:46:59.748992
84,2022-03-13 22:47:00.752208
75,2022-03-13 22:47:01.760149
87,2022-03-13 22:47:02.754725
78,2022-03-13 22:47:03.775757
81,2022-03-13 22:47:04.747980
84,2022-03-13 22:47:05.747470
80,2022-03-13 22:47:06.755590
64,2022-03-13 22:47:07.752734
57,2022-03-13 22:47:08.744317
63,2022-03-13 22:47:09.760168
63,2022-03-13 22:47:10.789838
80,2022-03-13 22:47:11.755186
75,2022-03-13 22:47:12.754821
80,2022-03-13 22:47:13.753740
70,2022-03-13 22:47:14.770279
66,2022-03-13 22:47:15.752520
80,2022-03-13 22:47:16.747426
75,2022-03-13 22:47:17.785225
78,2022-03-13 22:47:18.755144
77,2022-03-13 22:47:19.749095
74,2022-03-13 22:47:20.758642
70,2022-03-13 22:47:21.783453
64,2022-03-13 22:47:22.755723
67,2022-03-13 22:47:23.745434
74,2022-03-13 22:47:24.753785
66,2022-03-13 22:47:25.753208
66,2022-03-13 22:47:26.757357
67,2022-03-13 22:47:27.752819
77,2022-03-13 22:47:28.785676
90,2022-03-13 22:47:29.775739
100,2022-03-13 22:47:30.770775
100,2022-03-13 22:47:31.761054
88,2022-03-13 22:47:32.749039
81,2022-03-13 22:47:33.752055
63,2022-03-13 22:47:34.745952
54,2022-03-13 22:47:35.768246
54,2022-03-13 22:47:36.748259
61,2022-03-13 22:47:37.754751
56,2022-03-13 22:47:38.753717
64,2022-03-13 22:47:39.751578
77,2022-03-13 22:47:40.761222
61,2022-03-13 22:47:41.757724
74,2022-03-13 22:47:42.759709
77,2022-03-13 22:47:43.753502
74,2022-03-13 22:47:44.760194
80,2022-03-13 22:47:45.749661
84,2022-03-13 22:47:46.810140
78,2022-03-13 22:47:47.749762
75,2022-03-13 22:47:48.759864
61,2022-03-13 22:47:49.746548
47,2022-03-13 22:47:50.744652
47,2022-03-13 22:47:51.754695
37,2022-03-13 22:47:52.755112
51,2022-03-13 22:47:53.786542
